date,service_name,tme_category,User_Base
2022-12-15,Rincon Prohibido,Light,1664
2022-12-15,Tonos Reales,Music,182
2022-12-16,La Gruta del Sexo,Light,12798
2022-12-16,Porno Gafas,Light,9650
2022-12-16,Rincon Prohibido,Light,1662
2022-12-16,Tonos Reales,Music,182
2022-12-17,La Gruta del Sexo,Light,12829
2022-12-17,Porno Gafas,Light,9672
2022-12-17,Rincon Prohibido,Light,1660
2022-12-17,Tonos Reales,Music,182
2022-12-18,La Gruta del Sexo,Light,12898
2022-12-18,Porno Gafas,Light,9697
2022-12-18,Rincon Prohibido,Light,1658
2022-12-18,Tonos Reales,Music,182
2022-12-19,Amateur,Light,0
2022-12-19,Animaciones,Edu_Ima,0
2022-12-19,Animaciones Brand,Edu_Ima,0
2022-12-19,Club Sexy,Light,0
2022-12-19,Corridas,Light,0
2022-12-19,Desc. Gameloft,Games,0
2022-12-19,Enfermeras,Light,0
2022-12-19,Fantasy Mansion,Light,0
2022-12-19,Fondos,Edu_Ima,0
2022-12-19,Fondos Branded,Edu_Ima,0
2022-12-19,Forman TV,Light,0
2022-12-19,Gordas,Light,0
2022-12-19,Hardcore,Light,0
2022-12-19,Hentai,Light,0
2022-12-19,La Calle del Sexo,Light,0
2022-12-19,La Gruta del Sexo,Light,12913
2022-12-19,Lesbianas,Light,0
2022-12-19,Megazorrones,Light,0
2022-12-19,MoviSexy XXX,Light,0
2022-12-19,Orgias,Light,0
2022-12-19,Passion HD,Light,0
2022-12-19,Playboy Tv,Light,0
2022-12-19,Porno Gafas,Light,9688
2022-12-19,Private XXX,Light,0
2022-12-19,Rincon Prohibido,Light,1651
2022-12-19,Tonos Reales,Music,182
2022-12-19,Top Models,Light,0
2022-12-19,Travestis,Light,0
2022-12-19,Universitarias,Light,0
2022-12-19,Videos,Edu_Ima,0
2022-12-19,Videos Branded,Edu_Ima,0
2022-12-19,Webcams,Light,0
2022-12-19,Wicked TV,Light,0
2022-12-19,Xtreme Movies,Light,0
2022-12-20,La Gruta del Sexo,Light,12913
2022-12-20,Porno Gafas,Light,9688
2022-12-20,Rincon Prohibido,Light,1651
2022-12-20,Tonos Reales,Music,182
2022-12-21,La Gruta del Sexo,Light,12915
2022-12-21,Porno Gafas,Light,9684
2022-12-21,Rincon Prohibido,Light,1642
2022-12-21,Tonos Reales,Music,182
2022-12-22,La Gruta del Sexo,Light,12906
2022-12-22,Porno Gafas,Light,9671
2022-12-22,Rincon Prohibido,Light,1638
2022-12-22,Tonos Reales,Music,182
2022-12-23,La Gruta del Sexo,Light,12919
2022-12-23,Porno Gafas,Light,9668
2022-12-23,Rincon Prohibido,Light,1633
2022-12-23,Tonos Reales,Music,181
2022-12-24,La Gruta del Sexo,Light,12961
2022-12-24,Porno Gafas,Light,9698
2022-12-24,Rincon Prohibido,Light,1631
2022-12-24,Tonos Reales,Music,180
2022-12-25,La Gruta del Sexo,Light,13007
2022-12-25,Porno Gafas,Light,9725
2022-12-25,Rincon Prohibido,Light,1630
2022-12-25,Tonos Reales,Music,180
2022-12-26,La Gruta del Sexo,Light,13014
2022-12-26,Porno Gafas,Light,9730
2022-12-26,Rincon Prohibido,Light,1626
2022-12-26,Tonos Reales,Music,180
2022-12-27,La Gruta del Sexo,Light,13002
2022-12-27,Porno Gafas,Light,9730
2022-12-27,Rincon Prohibido,Light,1621
2022-12-27,Tonos Reales,Music,179
2022-12-28,La Gruta del Sexo,Light,12984
2022-12-28,Porno Gafas,Light,9725
2022-12-28,Rincon Prohibido,Light,1611
2022-12-28,Tonos Reales,Music,179
2022-12-29,La Gruta del Sexo,Light,12961
2022-12-29,Porno Gafas,Light,9694
2022-12-29,Rincon Prohibido,Light,1609
2022-12-29,Tonos Reales,Music,179
2022-12-30,La Gruta del Sexo,Light,12930
2022-12-30,Porno Gafas,Light,9671
2022-12-30,Rincon Prohibido,Light,1600
2022-12-30,Tonos Reales,Music,179
2022-12-31,La Gruta del Sexo,Light,12943
2022-12-31,Porno Gafas,Light,9696
2022-12-31,Rincon Prohibido,Light,1599
2022-12-31,Tonos Reales,Music,178
2023-01-01,La Gruta del Sexo,Light,12958
2023-01-01,Porno Gafas,Light,9736
2023-01-01,Rincon Prohibido,Light,1596
2023-01-01,Tonos Reales,Music,178
2023-01-02,La Gruta del Sexo,Light,12930
2023-01-02,Porno Gafas,Light,9719
2023-01-02,Rincon Prohibido,Light,1590
2023-01-02,Tonos Reales,Music,178
2023-01-03,La Gruta del Sexo,Light,12870
2023-01-03,Porno Gafas,Light,9717
2023-01-03,Rincon Prohibido,Light,1585
2023-01-03,Tonos Reales,Music,178
2023-01-04,La Gruta del Sexo,Light,12805
2023-01-04,Porno Gafas,Light,9686
2023-01-04,Rincon Prohibido,Light,1576
2023-01-04,Tonos Reales,Music,178
2023-01-05,La Gruta del Sexo,Light,12796
2023-01-05,Porno Gafas,Light,9694
2023-01-05,Rincon Prohibido,Light,1579
2023-01-05,Tonos Reales,Music,178
2023-01-06,La Gruta del Sexo,Light,12813
